kind,scope,name,numeric_value,text_value
metric,"round_25",accepted_boundary_collapses,128,
metric,"round_25",skipped_boundary_edges,0,
metric,"round_25",rejected_conflicts,110,
metric,"round_25",repartitioned,1,
metric,"round_26",interior_edge_fraction,0.965591,
metric,"round_26",boundary_edge_fraction,0.0344089,
metric,"round_26",partition_load_imbalance,8.15524,
metric,"round_26",local_queue_size,160432,
metric,"round_26",boundary_queue_size,5717,
metric,"round_26",accepted_local_collapses,512,
metric,"round_26",accepted_boundary_collapses,128,
metric,"round_26",skipped_boundary_edges,0,
metric,"round_26",rejected_conflicts,98,
metric,"round_26",repartitioned,1,
metric,"round_27",interior_edge_fraction,0.966175,
metric,"round_27",boundary_edge_fraction,0.0338247,
metric,"round_27",partition_load_imbalance,8.41014,
metric,"round_27",local_queue_size,158674,
metric,"round_27",boundary_queue_size,5555,
metric,"round_27",accepted_local_collapses,512,
metric,"round_27",accepted_boundary_collapses,128,
metric,"round_27",skipped_boundary_edges,0,
metric,"round_27",rejected_conflicts,114,
metric,"round_27",repartitioned,1,
metric,"round_28",interior_edge_fraction,0.966545,
metric,"round_28",boundary_edge_fraction,0.0334547,
metric,"round_28",partition_load_imbalance,8.69611,
metric,"round_28",local_queue_size,156879,
metric,"round_28",boundary_queue_size,5430,
metric,"round_28",accepted_local_collapses,512,
metric,"round_28",accepted_boundary_collapses,128,
metric,"round_28",skipped_boundary_edges,0,
metric,"round_28",rejected_conflicts,131,
metric,"round_28",repartitioned,1,
metric,"round_29",interior_edge_fraction,0.96708,
metric,"round_29",boundary_edge_fraction,0.03292,
metric,"round_29",partition_load_imbalance,8.97534,
metric,"round_29",local_queue_size,155109,
metric,"round_29",boundary_queue_size,5280,
metric,"round_29",accepted_local_collapses,512,
metric,"round_29",accepted_boundary_collapses,128,
metric,"round_29",skipped_boundary_edges,0,
metric,"round_29",rejected_conflicts,130,
metric,"round_29",repartitioned,1,
metric,"round_30",interior_edge_fraction,0.967445,
metric,"round_30",boundary_edge_fraction,0.0325553,
metric,"round_30",partition_load_imbalance,9.30012,
metric,"round_30",local_queue_size,153310,
metric,"round_30",boundary_queue_size,5159,
metric,"round_30",accepted_local_collapses,512,
metric,"round_30",accepted_boundary_collapses,128,
metric,"round_30",skipped_boundary_edges,0,
metric,"round_30",rejected_conflicts,103,
metric,"round_30",repartitioned,1,
metric,"round_31",interior_edge_fraction,0.967774,
metric,"round_31",boundary_edge_fraction,0.0322263,
metric,"round_31",partition_load_imbalance,9.65533,
metric,"round_31",local_queue_size,151504,
metric,"round_31",boundary_queue_size,5045,
metric,"round_31",accepted_local_collapses,512,
metric,"round_31",accepted_boundary_collapses,128,
metric,"round_31",skipped_boundary_edges,0,
metric,"round_31",rejected_conflicts,128,
metric,"round_31",repartitioned,1,
metric,"round_32",interior_edge_fraction,0.968163,
metric,"round_32",boundary_edge_fraction,0.0318375,
metric,"round_32",partition_load_imbalance,10.0322,
metric,"round_32",local_queue_size,149706,
metric,"round_32",boundary_queue_size,4923,
metric,"round_32",accepted_local_collapses,512,
metric,"round_32",accepted_boundary_collapses,128,
metric,"round_32",skipped_boundary_edges,0,
metric,"round_32",rejected_conflicts,122,
metric,"round_32",repartitioned,1,
metric,"round_33",interior_edge_fraction,0.968744,
metric,"round_33",boundary_edge_fraction,0.0312555,
metric,"round_33",partition_load_imbalance,10.4485,
metric,"round_33",local_queue_size,147936,
metric,"round_33",boundary_queue_size,4773,
metric,"round_33",accepted_local_collapses,512,
metric,"round_33",accepted_boundary_collapses,128,
metric,"round_33",skipped_boundary_edges,0,
metric,"round_33",rejected_conflicts,132,
metric,"round_33",repartitioned,1,
metric,"round_34",interior_edge_fraction,0.969096,
metric,"round_34",boundary_edge_fraction,0.0309041,
metric,"round_34",partition_load_imbalance,10.9285,
metric,"round_34",local_queue_size,146129,
metric,"round_34",boundary_queue_size,4660,
metric,"round_34",accepted_local_collapses,512,
metric,"round_34",accepted_boundary_collapses,128,
metric,"round_34",skipped_boundary_edges,0,
metric,"round_34",rejected_conflicts,110,
metric,"round_34",repartitioned,1,
metric,"round_35",interior_edge_fraction,0.969362,
metric,"round_35",boundary_edge_fraction,0.0306377,
metric,"round_35",partition_load_imbalance,11.4531,
metric,"round_35",local_queue_size,144308,
metric,"round_35",boundary_queue_size,4561,
metric,"round_35",accepted_local_collapses,512,
metric,"round_35",accepted_boundary_collapses,128,
metric,"round_35",skipped_boundary_edges,0,
metric,"round_35",rejected_conflicts,144,
metric,"round_35",repartitioned,1,
metric,"round_36",interior_edge_fraction,0.969479,
metric,"round_36",boundary_edge_fraction,0.0305208,
metric,"round_36",partition_load_imbalance,12.0154,
metric,"round_36",local_queue_size,142464,
metric,"round_36",boundary_queue_size,4485,
metric,"round_36",accepted_local_collapses,512,
metric,"round_36",accepted_boundary_collapses,128,
